DATE,PNGASJPUSDM,EMVOVERALLEMV,EUEPUINDXM,USEPUINDXM,GACDISA066MSFRBNY,FEDFUNDS,TB3MS,TB6MS,INFECTDISEMVTRACK,PNICKUSDM
2001-07-01,5.05,22.32,98.43,102.13,-13.3,3.77,3.51,3.45,0.79,5962.55
2001-08-01,4.73,19.97,73.7,84.29,-8.0,3.65,3.36,3.29,0.39,5525.64
2001-09-01,4.63,42.43,215.05,188.06,-12.5,3.07,2.64,2.63,0.78,5057.65
2001-10-01,4.65,29.34,204.66,173.14,-14.7,2.49,2.16,2.12,0.72,4830.78
2001-11-01,3.95,26.4,165.27,130.58,-21.5,2.09,1.87,1.88,0.81,5131.32
2001-12-01,3.68,24.36,111.51,117.24,-9.8,1.82,1.69,1.78,0.42,5315.82
2002-01-01,3.57,28.65,105.64,116.84,1.4,1.73,1.65,1.73,0.71,6061.36
2002-02-01,3.64,24.85,101.53,87.6,13.3,1.74,1.72,1.82,0.58,6039.95
2002-03-01,3.69,17.77,85.99,83.44,13.8,1.73,1.79,2.0,0.26,6543.2
2002-04-01,4.07,20.09,108.54,88.57,20.2,1.75,1.71,1.92,0.63,6956.81
2002-05-01,4.44,18.92,99.75,86.3,12.9,1.75,1.73,1.86,0.27,6771.18
2002-06-01,4.53,24.8,140.04,93.61,8.9,1.75,1.7,1.79,0.47,7147.61
2002-07-01,5.76,51.59,127.36,110.31,-1.9,1.73,1.68,1.69,1.31,7137.7
2002-08-01,4.52,39.48,130.8,116.01,8.2,1.74,1.62,1.6,0.66,6736.86
2002-09-01,4.63,31.97,178.16,124.04,6.3,1.75,1.63,1.6,0.75,6664.95
2002-10-01,4.76,31.46,160.96,111.89,-3.8,1.75,1.58,1.56,1.18,6818.91
2002-11-01,4.8,23.59,155.95,123.28,4.0,1.34,1.23,1.27,0.51,7314.81
2002-12-01,4.71,24.48,138.57,122.22,2.4,1.24,1.19,1.24,1.06,7206.33
2003-01-01,5.01,26.34,157.28,138.95,8.1,1.24,1.17,1.2,0.6,8032.81
2003-02-01,5.31,22.73,226.03,126.73,-3.5,1.26,1.17,1.18,0.42,8607.9
2003-03-01,5.44,30.03,251.23,163.52,6.5,1.25,1.13,1.13,0.59,8339.62
2003-04-01,5.18,25.45,206.6,135.63,-14.5,1.26,1.13,1.14,3.11,7930.52
2003-05-01,4.87,20.71,143.95,102.62,15.7,1.26,1.07,1.08,2.4,8347.72
2003-06-01,4.7,20.11,100.44,95.83,25.1,1.22,0.92,0.92,0.74,8839.02
2003-07-01,4.67,20.69,94.04,91.74,19.3,1.01,0.9,0.95,1.23,8831.7
2003-08-01,4.75,17.65,70.62,95.67,15.5,1.03,0.95,1.03,1.24,9359.88
2003-09-01,4.93,15.38,93.32,106.12,20.4,1.01,0.94,1.01,0.37,9995.77
