DATE,GACDISA066MSFRBNY
2001-07-01,-13.30
2001-08-01,-8.00
2001-09-01,-12.50
2001-10-01,-14.70
2001-11-01,-21.50
2001-12-01,-9.80
2002-01-01,1.40
2002-02-01,13.30
2002-03-01,13.8
2002-04-01,20.20
2002-05-01,12.90
2002-06-01,8.90
2002-07-01,-1.90
2002-08-01,8.2
2002-09-01,6.3
2002-10-01,-3.80
2002-11-01,4.00
2002-12-01,2.40
2003-01-01,8.10
2003-02-01,-3.50
2003-03-01,6.5
2003-04-01,-14.50
2003-05-01,15.70
2003-06-01,25.10
2003-07-01,19.30
2003-08-01,15.5
2003-09-01,20.40
2003-10-01,36.80
2003-11-01,34.00
2003-12-01,27.40
2004-01-01,32.50
2004-02-01,37.00
2004-03-01,32.6
2004-04-01,39.00
2004-05-01,37.00
2004-06-01,27.10
2004-07-01,35.00
2004-08-01,15.20
2004-09-01,28.40
2004-10-01,24.5
2004-11-01,15.30
2004-12-01,21.60
2005-01-01,15.60
2005-02-01,17.1
2005-03-01,24.3
2005-04-01,8.30
2005-05-01,-4.90
2005-06-01,7.80
2005-07-01,23.80
2005-08-01,23.70
2005-09-01,16.90
2005-10-01,12.10
2005-11-01,18.00
2005-12-01,22.90
2006-01-01,17.50
2006-02-01,20.9
2006-03-01,33.2
2006-04-01,18.5
2006-05-01,18.60
2006-06-01,26.50
2006-07-01,16.60
2006-08-01,11.70
2006-09-01,14.9
2006-10-01,18.70
2006-11-01,22.9
2006-12-01,20.10
2007-01-01,7.40
2007-02-01,24.5
2007-03-01,13.3
2007-04-01,3.90
2007-05-01,10.00
2007-06-01,24.30
2007-07-01,26.20
2007-08-01,22.8
2007-09-01,14.7
2007-10-01,25.7
2007-11-01,25.9
2007-12-01,8.6
2008-01-01,7.20
2008-02-01,-7.3
2008-03-01,-14.7
2008-04-01,-3.10
2008-05-01,-3.9
2008-06-01,-8.2
2008-07-01,-5.20
2008-08-01,-0.9
2008-09-01,-8.1
2008-10-01,-25.9
2008-11-01,-22.6
2008-12-01,-25.4
2009-01-01,-26.5
2009-02-01,-34.3
2009-03-01,-33.7
2009-04-01,-19.3
2009-05-01,-6.0
2009-06-01,-9.7
2009-07-01,0.0
2009-08-01,12.7
2009-09-01,21.0
2009-10-01,33.0
2009-11-01,25.8
2009-12-01,5.20
2010-01-01,15.1
2010-02-01,21.5
2010-03-01,19.8
2010-04-01,27.4
2010-05-01,18.0
2010-06-01,19.8
2010-07-01,5.3
2010-08-01,10.0
2010-09-01,9.9
2010-10-01,15.2
2010-11-01,-7.4
2010-12-01,11.9
2011-01-01,9.6
2011-02-01,12.1
2011-03-01,12.4
2011-04-01,19.1
2011-05-01,10.1
2011-06-01,-5.30
2011-07-01,-6.0
2011-08-01,-3.9
2011-09-01,-4.3
2011-10-01,-5.7
2011-11-01,4.9
2011-12-01,11.7
2012-01-01,11.5
2012-02-01,17.5
2012-03-01,15.5
2012-04-01,7.8
2012-05-01,14.2
2012-06-01,1.6
2012-07-01,3.2
2012-08-01,-2.7
2012-09-01,-6.9
2012-10-01,-4.6
2012-11-01,-0.8
2012-12-01,-5.8
2013-01-01,-7.5
2013-02-01,9.2
2013-03-01,4.9
2013-04-01,4.5
2013-05-01,-1.1
2013-06-01,4.5
2013-07-01,5.2
2013-08-01,9.7
2013-09-01,7.7
2013-10-01,3.6
2013-11-01,2.2
2013-12-01,3.2
2014-01-01,12.8
2014-02-01,6.8
2014-03-01,2.8
2014-04-01,4.1
2014-05-01,17.5
2014-06-01,15.8
2014-07-01,21.0
2014-08-01,16.1
2014-09-01,29.4
2014-10-01,6.2
2014-11-01,12.0
2014-12-01,-2.5
2015-01-01,12.5
2015-02-01,10.6
2015-03-01,3.7
2015-04-01,0.1
2015-05-01,3.9
2015-06-01,-4.8
2015-07-01,1.7
2015-08-01,-13.9
2015-09-01,-12.7
2015-10-01,-13.7
2015-11-01,-9.7
2015-12-01,-5.9
2016-01-01,-16.6
2016-02-01,-12.9
2016-03-01,-2.5
2016-04-01,8.9
2016-05-01,-7.4
2016-06-01,3.1
2016-07-01,1.4
2016-08-01,-5.6
2016-09-01,-1.6
2016-10-01,-9.5
2016-11-01,1.9
2016-12-01,9.6
2017-01-01,7.5
2017-02-01,20.1
2017-03-01,15.6
2017-04-01,6.2
2017-05-01,0.7
2017-06-01,18.8
2017-07-01,11.8
2017-08-01,22.7
2017-09-01,23.6
2017-10-01,26.6
2017-11-01,19.1
2017-12-01,20.1
2018-01-01,19.4
2018-02-01,17.5
2018-03-01,23.5
