DATE,PNGASJPUSDQ,CLVMEURSCAB1GQEA19,GDP,JPNNGDP,EMVOVERALLEMV,EUEPUINDXM,USEPUINDXM,TB3MS,TB6MS,INFECTDISEMVTRACK
1995-01-01,3.57,1836.114,7522.29,514939.7,20.98,125.52,90.79,5.74,6.04,0.3
1995-04-01,3.79,1846.6928,7581.0,518751.3,14.98,81.38,73.45,5.6,5.62,0.33
1995-07-01,3.43,1853.1124,7683.12,525367.1,15.0,83.91,75.01,5.37,5.36,0.36
1995-10-01,3.43,1859.6108000000002,7772.59,527012.8,17.18,89.63,85.17,5.26,5.24,0.33
1996-01-01,3.72,1862.0208,7868.47,529099.0,21.11,112.34,79.71,4.93,4.88,0.56
1996-04-01,3.81,1875.3481000000002,8032.84,536014.2,16.92,102.47,73.27,5.02,5.14,0.46
1996-07-01,3.82,1884.5058000000001,8131.41,536110.4,18.86,83.15,78.42,5.1,5.22,0.5
1996-10-01,4.26,1893.7633,8259.77,541128.2,18.46,93.61,69.46,4.98,5.07,0.32
1997-01-01,4.27,1898.5026,8362.66,542199.1,21.16,121.6,79.23,5.06,5.14,0.7
1997-04-01,3.7,1921.5913999999998,8518.83,544044.4,20.75,123.97,75.8,5.05,5.27,0.73
1997-07-01,3.48,1937.1894,8662.82,544020.3,20.07,91.9,66.29,5.05,5.13,0.72
1997-10-01,3.6,1958.9846,8765.91,544950.7,29.17,94.02,83.59,5.09,5.17,1.59
1998-01-01,3.08,1971.8348999999998,8866.48,538018.5,23.38,85.34,86.08,5.05,5.05,1.03
1998-04-01,2.65,1980.4827,8969.7,534790.0,23.15,88.97,75.12,4.98,5.11,1.13
1998-07-01,2.6,1991.7127,9121.1,533899.6,39.18,138.89,104.52,4.82,4.87,1.51
1998-10-01,2.69,1994.6266,9293.99,539275.0,34.76,120.46,98.08,4.25,4.29,1.39
1999-01-01,2.61,2014.9663999999998,9411.68,529080.7,26.11,98.3,82.34,4.41,4.41,0.87
1999-04-01,2.96,2025.6061000000002,9526.21,529000.9,20.5,90.66,69.21,4.45,4.58,0.79
1999-07-01,3.53,2050.123,9686.63,528595.0,23.87,87.44,73.06,4.65,4.78,0.84
1999-10-01,4.27,2073.2493999999997,9900.17,527857.9,20.67,85.88,76.19,5.04,5.21,0.84
2000-01-01,4.69,2098.548,10002.18,535179.9,23.47,66.78,81.45,5.52,5.69,0.5
2000-04-01,4.93,2117.2574,10247.72,535350.1,33.99,72.21,89.01,5.71,5.96,0.78
2000-07-01,5.48,2130.0379,10318.17,534441.1,18.99,64.15,73.72,6.02,6.02,0.24
2000-10-01,5.83,2143.6855,10435.74,537846.0,31.08,93.64,108.33,6.02,5.93,0.87
2001-01-01,4.83,2164.4771,10470.23,542538.2,26.99,97.94,112.79,4.82,4.65,1.04
2001-04-01,4.95,2167.1405,10599.0,534251.9,22.12,84.12,103.16,3.66,3.64,0.8
2001-07-01,4.8,2170.3273,10598.02,527027.6,28.24,129.06,124.83,3.17,3.12,0.65
2001-10-01,4.09,2171.0008,10660.46,523929.8,26.7,160.48,140.32,1.91,1.93,0.65
2002-01-01,3.63,2174.1407000000004,10783.5,525444.7,23.76,97.72,95.96,1.72,1.85,0.52
2002-04-01,4.35,2185.6762999999996,10887.46,524236.0,21.27,116.11,89.49,1.71,1.86,0.46
2002-07-01,4.97,2194.7978,10984.04,524199.6,41.01,145.44,116.79,1.64,1.63,0.91
2002-10-01,4.76,2198.5323,11061.43,524425.9,26.51,151.83,119.13,1.33,1.36,0.92
2003-01-01,5.25,2191.4866,11174.13,521349.1,26.37,211.51,143.07,1.16,1.17,0.54
2003-04-01,4.92,2193.443,11312.77,524521.8,22.09,150.33,111.36,1.04,1.05,2.08
2003-07-01,4.78,2206.5396,11566.67,524384.4,17.91,85.99,97.84,0.93,1.0,0.95
2003-10-01,4.97,2221.6355,11772.23,526403.6,13.98,88.82,88.23,0.92,1.0,0.67
2004-01-01,5.21,2232.7255,11923.45,529393.7,14.88,92.45,97.61,0.92,0.98,0.56
2004-04-01,5.62,2246.4557,12112.82,527644.5,16.02,108.18,90.6,1.08,1.33,0.47
2004-07-01,6.02,2251.9728,12305.31,530503.2,15.83,94.29,91.16,1.49,1.75,0.46
2004-10-01,6.71,2260.2727999999997,12527.21,529913.4,15.49,110.42,92.85,2.01,2.23,0.73
2005-01-01,6.13,2264.9114,12767.29,529878.9,15.3,71.79,63.48,2.54,2.79,0.47
2005-04-01,6.94,2278.8742,12922.66,531340.8,17.38,95.98,73.21,2.86,3.09,0.5
2005-07-01,7.33,2296.7317000000003,13142.64,534628.0,15.3,109.46,74.84,3.36,3.58,0.43
2005-10-01,7.74,2310.8471,13324.2,534714.6,14.29,76.15,75.48,3.83,4.11,0.74
2006-01-01,7.71,2330.4829,13599.16,534484.5,14.66,74.81,72.03,4.39,4.48,0.44
2006-04-01,8.34,2356.6702999999998,13753.42,534044.2,16.45,87.11,76.7,4.7,4.84,0.55
2006-07-01,8.57,2371.2403999999997,13870.19,532305.7,16.78,72.57,73.47,4.91,4.97,0.55
2006-10-01,7.58,2398.5504,14039.56,539847.2,14.11,73.33,63.12,4.9,4.92,0.54
2007-01-01,7.4,2412.7886000000003,14215.65,541869.6,18.58,63.99,68.7,4.98,4.93,0.69
