DATE,JPNNGDP
1994-01-01,510125.7
1994-04-01,509010.9
1994-07-01,512974.4
1994-10-01,511573.0
1995-01-01,514939.7
1995-04-01,518751.3
1995-07-01,525367.1
1995-10-01,527012.8
1996-01-01,529099.0
1996-04-01,536014.2
1996-07-01,536110.4
1996-10-01,541128.2
1997-01-01,542199.1
1997-04-01,544044.4
1997-07-01,544020.3
1997-10-01,544950.7
1998-01-01,538018.5
1998-04-01,534790.0
1998-07-01,533899.6
1998-10-01,539275.0
1999-01-01,529080.7
1999-04-01,529000.9
1999-07-01,528595.0
1999-10-01,527857.9
2000-01-01,535179.9
2000-04-01,535350.1
2000-07-01,534441.1
2000-10-01,537846.0
2001-01-01,542538.2
2001-04-01,534251.9
2001-07-01,527027.6
2001-10-01,523929.8
2002-01-01,525444.7
2002-04-01,524236.0
2002-07-01,524199.6
2002-10-01,524425.9
2003-01-01,521349.1
2003-04-01,524521.8
2003-07-01,524384.4
2003-10-01,526403.6
2004-01-01,529393.7
2004-04-01,527644.5
2004-07-01,530503.2
2004-10-01,529913.4
2005-01-01,529878.9
2005-04-01,531340.8
2005-07-01,534628.0
2005-10-01,534714.6
2006-01-01,534484.5
2006-04-01,534044.2
2006-07-01,532305.7
2006-10-01,539847.2
2007-01-01,541869.6
2007-04-01,542156.9
2007-07-01,536550.4
2007-10-01,536710.3
2008-01-01,537553.4
2008-04-01,533767.2
2008-07-01,523279.9
2008-10-01,516814.1
2009-01-01,492180.2
2009-04-01,497967.7
2009-07-01,493625.6
2009-10-01,496408.6
2010-01-01,501435.2
2010-04-01,505090.9
2010-07-01,510939.1
2010-10-01,505224.5
2011-01-01,498600.7
2011-04-01,490822.8
2011-07-01,501063.4
2011-10-01,500155.8
2012-01-01,507500.2
2012-04-01,500281.6
2012-07-01,497556.3
2012-10-01,497146.2
2013-01-01,502995.9
2013-04-01,507589.9
2013-07-01,512880.9
2013-10-01,512371.1
2014-01-01,516729.6
2014-04-01,517882.5
2014-07-01,518284.1
2014-10-01,522021.2
2015-01-01,534810.8
2015-04-01,538143.2
2015-07-01,539934.1
2015-10-01,539264.9
2016-01-01,545356.4
2016-04-01,543369.3
2016-07-01,543613.2
2016-10-01,544506.9
2017-01-01,547622.4
2017-04-01,550663.8
2017-07-01,557150.4
2017-10-01,556737.6
2018-01-01,558321.0
2018-04-01,559001.5
2018-07-01,555455.1
2018-10-01,553460.1
2019-01-01,558620.0
2019-04-01,560909.3
2019-07-01,561625.0
2019-10-01,550223.0
2020-01-01,554226.5
2020-04-01,512813.8
2020-07-01,540026.0
2020-10-01,549012.0
2021-01-01,548694.3
2021-04-01,551498.6
2021-07-01,548427.2
2021-10-01,552419.0
2022-01-01,553427.8
2022-04-01,558488.3
2022-07-01,554145.9
2022-10-01,561439.4
2023-01-01,574146.4
2023-04-01,588678.7
2023-07-01,588451.6
